,Weapon,Cost,Unlock Condition,Ammunition
0,Bornheim No. 3 Match,224$,Unlock Bornheim No. 3 Extended  and then earn 2500XP with any Bornheim No. 3 variant,Compact
4,Caldwell Rival 78 Handcannon,85$,Unlock Caldwell Rival 78 and then earn 1000XP with any Caldwell Rival 78 variant,Shotgun
8,Combat Axe,5$,Rank 1,
10,Dolch 96 Precision,790$,Unlock Dolch 96 and then earn 2000XP with any Dolch 96 variant,Special (others)
14,Mosin-Nagant M1891 Obrez,290$,Unlock Mosin-Nagant M1891 and then earn 1500XP with any Mosin-Nagant M1891 variant,Long
18,Mosin-Nagant M1891 Obrez Drum,350$,Unlock Mosin-Nagant M1891 Sniper and then earn 2000XP with any Mosin-Nagant M1891 variant,Long
22,Mosin-Nagant M1891 Obrez Mace,310$,Unlock Mosin-Nagant M1891 Bayonet and then earn 2000XP with any Mosin-Nagant M1891 variant,Long
26,Nagant M1895 Deadeye,42$,Unlock Nagant M1895 Silencer and then earn 750XP with any Nagant M1895 variant,Compact
30,Nagant M1895 Precision,29$,Unlock Nagant M1895 and then earn 100XP with any Nagant M1895 variant,Compact
34,Romero 77 Handcannon,26$,Unlock Romero 77 and then earn 250XP with any Romero 77 variant,Shotgun
38,Romero 77 Hatchet,62$,Unlock Romero 77 Talon and then earn 1000XP with any Romero 77 variant,Shotgun
42,Specter 1882 Compact,164$,Unlock Specter 1882 and then earn 1500XP with any Specter 1882 variant,Shotgun
46,Springfield 1866 Compact,33$,Unlock Springfield 1866 Marksman and then earn 250XP with any Springfield 1866 variant,Medium
50,Springfield 1866 Compact Deadeye,46$,Unlock Springfield 1866 Compact Striker and then earn 1000XP with any Springfield 1866 variant,Medium
54,Springfield 1866 Compact Striker,56$,Unlock Springfield 1866 Compact and then earn 500XP with any Springfield 1866 variant,Medium
58,Winfield 1887 Terminus Handcannon,289$,Unlock Winfield 1887 Terminus Flechette and then earn 2000XP with any Winfield 1887 Terminus variant,Shotgun
62,Winfield M1873C Vandal,35$,Unlock Winfield M1873C Marksman and then earn 500XP with any WinfieldC variant,Compact
66,Winfield M1873C Vandal Striker,39$,Unlock Winfield M1873C Vandal and then earn 750XP with any WinfieldC variant,Compact
70,Winfield M1873C Vandal Deadeye,45$,Unlock Winfield M1873C Vandal Striker and then earn 1000XP with any WinfieldC variant,Compact
